subject_id,course_id,plan_type,semester,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
520251,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,การปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์และการออกแบบประสบการณ์ผู้ใช้,Human Computer Interaction and User Experience Design,3(3-0-6),,,520251,520251
------,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาเลือกเสรี,,6,,,,
SUXXX,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาลือกในหมวดวิชาศึกษาทั่วไป,,3,,,,
520221,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,ระบบฐานข้อมูล,Database Systems,3(3-0-6),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล หรือ 517 121 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,,520221,520221
520222,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,การพัฒนาซอฟต์แวร์เชิงวัตถุและการประยุกต์,Object-Oriented Software Development and Application,3(2-2-5),517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2,,520222,520222
520223,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,ภาษาเอสคิวแอลเบื้องต้น,Introduction to Structure Query Language,1(0-2-1),,,520223,520223
520231,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,การวิเคราะห์ข้อมูล,Data Analytics,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล หรือ 517 121 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,,520231,520231
520232,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,การเล่าเรื่องและการสร้างภาพนิทัศน์จากข้อมูล,Storytelling and Data Visualization,3(2-2-5),,,520232,520232
520241,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,หลักของเครือข่ายคอมพิวเตอร์,Principles of Computer Networks,3(2-2-5),517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2,,520241,520241
520242,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,ความปลอดภัยของระบบสารสนเทศ,Information System Security,3(3-0-6),520 213 โครงสร้างข้อมูลพื้นฐานและการประยุกต์,,520242,520242
520321,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การบริหารจัดการระบบฐานข้อมูล,Database System Administration,3(2-2-5),(1) 517 261 หลักการระบบฐานข้อมูลและการออกแบบ หรือ (2) 520 221 ระบบฐานข้อมูล 520 223 ภาษาเอสคิวแอลเบื้องต้น,,520321,520321
520322,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,ระบบสารสนเทศเพื่อธุรกิจ,Business Information Systems,3(3-0-6),(1) 517 261 หลักการระบบฐานข้อมูลและการออกแบบ หรือ (2) 520 221 ระบบฐานข้อมูล 520 223 ภาษาเอสคิวแอลเบื้องต้น,,520322,520322
520331,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,ปัญญาประดิษฐ์สำหรับเทคโนโลยีสารสนเทศ,Artificial Intelligence for Information Technology,3(2-2-5),517 121 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,,520331,520331
520341,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การเขียนโปรแกรมแบบเว็บฝั่งไคลเอนต์,Client Side Web Programming,3(2-2-5),(1) 517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2 517 242 การพัฒนาโปรแกรมประยุกต์บนเว็บ หรือ (2)  517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2 520 112 เว็บเทคโนโลยี,,520341,520341
520342,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การเขียนโปรแกรมแบบเว็บฝั่งเซิร์ฟเวอร์,Server Side Web Programming,3(2-2-5),(1) 517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2 517 242 การพัฒนาโปรแกรมประยุกต์บนเว็บ หรือ  (2)  517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2 520 112 เว็บเทคโนโลยี,,520342,520342
520361,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การวิเคราะห์และการออกแบบระบบงาน,System Analysis and Design,3(3-0-6),(1) 517 261 หลักการระบบฐานข้อมูลและการออกแบบ หรือ (2) 520 221 ระบบฐานข้อมูล 520 223 ภาษาเอสคิวแอลเบื้องต้น,,520361,520361
------,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
520311,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,กฎหมายและจรรยาบรรณสำหรับเทคโนโลยีสารสนเทศ,Laws and Ethics in Information Technology,3(3-0-6),,,520311,520311
520343,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,เว็บเซอร์วิสและไมโครเซอร์วิส,Web Service and Microservice,2(1-2-3),,,520343,520343
520362,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิศวกรรมซอฟต์แวร์,Software Engineering,3(3-0-6),520 361 การวิเคราะห์และการออกแบบระบบงาน,,520362,520362
520363,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,สถาปัตยกรรมซอฟต์แวร์วิสาหกิจ,Enterprise Software Architecture,3(3-0-6),520 361 การวิเคราะห์และการออกแบบระบบงาน,,520363,520363
520364,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,การจัดการโครงการซอฟต์แวร์ร่วมสมัย,Contemporary Software Project Management,3(3-0-6),520 361 การวิเคราะห์และการออกแบบระบบงาน,,520364,520364
520393,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,การเตรียมโครงงานวิจัย,Research Project Preparation,1(0-2-1),,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วัดผลการศึกษาเป็น S หรือ U,520393,520393
------,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
SUXXX,BSIT65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาศึกษาทั่วไป,,3,,,,
520493,BSIT65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 1,โครงงานวิจัย 1,Research Project I,1(0-2-1),520 393 การเตรียมโครงงานวิจัย,วัดผลการศึกษาเป็น S หรือ U,520493,520493
------,BSIT65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
520494,BSIT65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 2,โครงงานวิจัย 2,Research Project II,2(0-4-2),520 493 โครงงานวิจัย 1,วัดผลการศึกษาเป็น S หรือ U,520494,520494
------,BSIT65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
520311,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,กฎหมายและจรรยาบรรณสำหรับเทคโนโลยีสารสนเทศ,Laws and Ethics in Information Technology,3(3-0-6),,,520311,520311
520343,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,เว็บเซอร์วิสและไมโครเซอร์วิส,Web Service and Microservice,2(1-2-3),,,520343,520343
520362,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,วิศวกรรมซอฟต์แวร์,Software Engineering,3(3-0-6),520 361 การวิเคราะห์และการออกแบบระบบงาน,,520362,520362
520363,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,สถาปัตยกรรมซอฟต์แวร์วิสาหกิจ,Enterprise Software Architecture,3(3-0-6),520 361 การวิเคราะห์และการออกแบบระบบงาน,,520363,520363
520364,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การจัดการโครงการซอฟต์แวร์ร่วมสมัย,Contemporary Software Project Management,3(3-0-6),520 361 การวิเคราะห์และการออกแบบระบบงาน,,520364,520364
520393,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การเตรียมโครงงานวิจัย,Research Project Preparation,1(0-2-1),,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วัดผลการศึกษาเป็น S หรือ U,520393,520393
520394,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การเตรียมความพร้อมสหกิจศึกษา,Preparation for Cooperative Education,1(0-2-1),,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วัดผลการศึกษาเป็น S หรือ U,520394,520394
SUXXX,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาศึกษาทั่วไป,,3,,,,
------,BSIT65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
520496,BSIT65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 1,สหกิจศึกษา,Cooperative Education,6 (ไม่น้อยกว่า 640 ชั่วโมง),520 393 การเตรียมโครงงานวิจัย 520 394 การเตรียมความพร้อมสหกิจศึกษา,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วัดผลการศึกษาเป็น S หรือ U,520496,520496
520497,BSIT65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 2,สัมมนาโครงงานสหกิจศึกษา,Cooperative Education Project Seminar,2(0-4-2),,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วัดผลการศึกษาเป็น S หรือ U,520497,520497
SU101,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,ศิลปะศิลปากร,Silpakorn Arts,3(3-0-6),,,SU101,
